ID,Males intemperate,Females intemperate,Can read,Can write,Born slaves,Bought freedom,Attend religious meetings,Not attend religious meetings,Belong to temperance societies,Source
0000,,,1,1,1,,3,,,City
0001,1,,1,1,,,3,,,City
0002,,,,,,,,3,,City
0003,,,,,1,,4,2,,City
0004,,,5,5,,,5,,,City
0005,,,1,1,,,1,,,City
0006,,,2,2,,,4,,,City
0007,,,2,2,1,,2,,,City
0008,,,1,1,,,3,,,City
0009,,,1,1,,,1,,,City
0010,,,1,1,,,1,,,City
0011,,,1,1,,,2,,,City
0012,,,1,1,1,,1,,,City
0013,,,1,1,,,2,,,City
0014,,,1,1,,,2,,,City
0015,,,2,2,,,4,,,City
0016,,,1,1,,,2,,,City
0017,,,,,1,,1,,,City
0018,,,5,5,,,6,,,City
0019,1,1,,,1,,,2,,City
0020,,,2,2,,,2,,,City
0021,,,1,1,,,1,1,,City
0022,,,1,2,,,2,,,City
0023,,,,,,,1,,,City
0024,,,,,,,1,,,City
0025,,,1,,1,1,1,1,,City
0026,,,3,3,1,,4,,,City
0027,,,,,,,1,,,City
0028,,,,,,,2,,,City
0029,1,,2,2,,,,2,,City
0030,,,,,,,2,,,City
0031,,,2,,2,,1,1,,City
0032,,,,,1,,3,,,City
0033,,,2,,,,2,,,City
0034,1,1,,,1,,2,,,City
0035,,,2,2,1,,3,,,City
0036,,,3,2,,,3,1,,City
0037,,,1,,,,1,,,City
0038,,,,,,,1,1,,City
0039,,,1,,,,,1,,City
0040,,,2,,,,1,2,,City
0041,,,1,,,,1,,,City
0042,,,1,1,,,1,,,City
0043,,,2,,,,4,,,City
0044,,,1,1,,,1,,,City
0045,,,1,1,,,2,,,City
0046,,,1,,,,2,1,,City
0047,,,,,,,1,,,City
0048,,,2,1,,,,,,City
0049,2,,,,,,1,1,,City
0050,,,2,,1,,4,,,City
0051,,,5,4,,,5,,,City
0052,,,1,,,,2,,,City
0053,,,2,,,,2,2,,City
0054,,,1,,,,,,,City
0055,,,3,3,,,5,,,City
0056,,,1,,,,1,,,City
0057,,,2,3,,,2,,,City
0058,,,1,,,,2,,,City
0059,,,1,,,,5,,,City
0060,,,2,1,1,,4,,,City
0061,,,2,1,1,,3,1,1,City
0062,,,2,1,,,3,,,City
0063,,,,,1,,3,,,City
0064,,,4,4,,,,,,City
0065,,,1,,,,,2,,City
0066,,,1,1,,,2,,,City
0067,,,2,,,,2,,,City
0068,,,2,,1,,3,,,City
0069,,,3,,,,5,,,City
0070,,,1,,,,1,,,City
0071,,,3,1,,,3,,,City
0072,,,3,,,,3,,,City
0073,,,2,1,,,2,,,City
0074,,,2,1,,,,,,City
0075,,,2,,,,1,,,City
0076,,,2,1,,,1,,,City
0077,,,1,,2,2,2,,,City
0078,,,2,,2,,2,,,City
0079,,,2,1,,,3,,,City
0080,,,2,1,,,1,1,2,City
0081,,,1,,1,1,2,2,,City
0082,,,4,4,,,4,,,City
0083,,,2,,,,4,1,,City
0084,,,3,1,2,1,3,,,City
0085,,,,,,,2,,,City
0086,,,,,1,,2,,,City
0087,,,1,1,,,1,1,,City
0088,,,1,,1,,2,,,City
0089,,,2,1,1,0,3,,2,City
0090,,,1,,,,1,,,City
0091,,,4,3,,,4,,1,City
0092,,,,,,,1,,,City
0093,1,,1,,1,1,1,,,City
0094,,,7,6,,,7,,,City
0095,,,,,,,1,,,City
0096,,,2,1,,,3,,,City
0097,,,3,1,,,6,,,City
0098,,,3,3,,,4,,,City
0099,,,,,,,1,,,City
