OCCUPATION,ID,OCCUPATION,ID2,COMMON
agent for ohio public school ,4264,afflicted rheumatism ,3499,at service
agent for the rent of the row ,2653,assignation house ,3846,baker
assembly rooms ,2897,assist at the house ,1244,barber
at college ,1881,assist father ,525,boarding house
at mcburneys confectionary ,4138,assist father ,2195,cake baker
at service ,281,assist harding ,855,cake seller
attends at mens library ,310,assist in oyster house ,1513,confectioner
attends the sick ,3488,assists at home ,1077,cook
b maker ,2904,assists at home ,1401,cooking
b maker ,3097,assists at home ,1839,cooks
b maker ,3346,assists husband ,303,cuts rags
b maker ,3663,assists husband ,427,days work
b maker hominy ,2860,assists husband ,536,dealer
b maker hominy ,3928,assists husband ,585,does nothing
b maker jobbing ,3734,assists husband ,639,door mat maker
b maker jobbing ,3781,assists husband ,749,eating house
b maker jobbing ,3797,assists husband ,845,hair dresser
b maker jobbing ,3904,assists husband ,1107,hominy dealer
baker ,4204,assists husband ,1337,huckster
baker unemployed ,3212,assists husband ,1430,idle
bar tender ,3410,assists husband ,1533,ironing
bar tender ,4217,assists husband ,1756,janitor
barber ,4,assists husband ,1787,makes mats
barber ,5,assists husband ,2058,muffin baker
barber ,101,assorter of rags ,2560,not able
barber ,103,astrologer ,2967,not able to work
barber ,105,at days work irregular ,524,null
barber ,106,at home ,2918,oyster dealer
barber ,126,at home ,2951,past work
barber ,128,at home ,3016,picks coal
barber ,133,at home ,3111,rag & bone
barber ,147,at home ,3114,rag gatherer
barber ,155,at home ,3346,rag picker
barber ,235,at home ,3369,school teacher
barber ,247,at home ,3377,scourer
barber ,250,at home ,3699,sells pepper pot
barber ,311,at home ,3978,service
barber ,329,at home ,3984,sewing
barber ,331,at home is weakly ,2959,shop keeper
barber ,332,at home wants work ,2988,teacher
barber ,386,at home wants work ,3271,traveling preacher
barber ,407,at home weakly ,2998,various
barber ,525,at house of industry ,3514,waiter
barber ,646,at house of industry ,3574,washer
barber ,673,at present ,1169,whitewasher
barber ,726,at service ,76,whitewashing
barber ,759,at service ,90,wood sawyer
barber ,766,at service ,622,works at confectionary
barber ,776,at service ,733,
barber ,836,at service ,1133,
barber ,844,at service ,1893,
barber ,854,at service ,1929,
barber ,871,at service sometimes ,273,
barber ,997,attend shop provisions ,2542,
barber ,1007,baker ,3106,
barber ,1008,bar in theatre ,1990,
barber ,1036,barber ,1075,
barber ,1037,boarder ,2775,
barber ,1070,boarder ,3690,
barber ,1099,boarder ,3968,
barber ,1242,boarding house ,3902,
barber ,1273,bonnetmaker ,1636,
barber ,1352,boot fitter ,158,
barber ,1354,cake baker ,61,
barber ,1462,cake baker ,558,
barber ,1483,cake baker ,692,
barber ,1500,cake baker ,1652,
barber ,1508,cake baker ,1736,
barber ,1514,cake baker ,3926,
barber ,1543,cake seller ,1070,
barber ,1556,cake shop keeper ,3472,
barber ,1557,candy maker ,3609,
barber ,1571,care takes school room ,323,
barber ,1579,carpet rags ,2485,
barber ,1580,carpet rags ,3724,
barber ,1601,carpet rags ,3739,
barber ,1645,carpet rags ,3745,
barber ,1666,carpet rags ,4007,
barber ,1670,carpet rags ball to sell ,2917,
barber ,1675,carpet rags balls ,3197,
barber ,1700,chambermaid ,1687,
barber ,1705,chambermaid ,1925,
barber ,1712,childs nurse ,312,
barber ,1743,cleaning ,2966,
barber ,1797,confectioner ,389,
barber ,1803,confectioner ,864,
barber ,1925,confectioner ,2498,
barber ,1969,confectioner dom duties ,2496,
barber ,1982,cook ,22,
barber ,1984,cook ,28,
barber ,1994,cook ,236,
barber ,2009,cook ,413,
barber ,2011,cook ,414,
barber ,2022,cook ,446,
barber ,2039,cook ,463,
barber ,2073,cook ,474,
barber ,2074,cook ,493,
barber ,2076,cook ,518,
barber ,2080,cook ,592,
barber ,2153,cook ,595,
barber ,2221,cook ,614,
barber ,2296,cook ,615,
barber ,2322,cook ,640,
barber ,2324,cook ,650,
barber ,2333,cook ,659,
barber ,2341,cook ,683,
barber ,2353,cook ,706,
barber ,2356,cook ,709,
barber ,2427,cook ,720,
barber ,2428,cook ,825,
barber ,2439,cook ,852,
barber ,2488,cook ,916,
barber ,2493,cook ,926,
barber ,2496,cook ,933,
barber ,2497,cook ,938,
barber ,2527,cook ,958,
barber ,3887,cook ,973,
barber ,3983,cook ,990,
barber ,4033,cook ,991,
barber ,4113,cook ,1003,
barber ,4203,cook ,1047,
barber ,4206,cook ,1068,
barber ,4243,cook ,1081,
barber ,4270,cook ,1149,
barber bleeder ,2833,cook ,1226,
barber cant tell ,643,cook ,1261,
barber cant tell ,696,cook ,1269,
barber dont know ,374,cook ,1284,
barber dont know ,742,cook ,1306,
basket maker ,624,cook ,1330,
basket maker ,1341,cook ,1343,
basket maker ,2705,cook ,1365,
basket maker ,4101,cook ,1396,
biscuit baker ,1632,cook ,1406,
biscuit baker ,3329,cook ,1421,
black smith ,2901,cook ,1448,
black smith ,2947,cook ,1480,
black smith ,3331,cook ,1534,
blacksmith ,4038,cook ,1590,
blind not able ,908,cook ,1612,
bmaker ,3026,cook ,1620,
boarding house ,639,cook ,1626,
boat & shoemaker,383,cook ,1655,
boatman ,1021,cook ,1656,
boatman ,1076,cook ,1684,
boatman ,1634,cook ,1695,
boatman ,3202,cook ,1804,
book maker ,2598,cook ,1830,
boot ,243,cook ,1857,
boot ,1660,cook ,1904,
boot ,2062,cook ,1976,
boot & shoemaker,687,cook ,2000,
boot & shoemaker,1723,cook ,2022,
boot & shoemakers,2206,cook ,2045,
boot black ,98,cook ,2181,
boot black ,99,cook ,2219,
boot black ,211,cook ,2330,
boot black ,468,cook ,2351,
boot black ,469,cook ,2396,
boot blacker ,2867,cook ,2433,
boot blacker ,3005,cook ,2466,
boot cleaner ,1079,cook ,2556,
boot cleaner ,1217,cook ,2574,
boot cleaner ,1471,cook ,2720,
boot cleaner ,1554,cook ,2721,
boot cleaner ,1910,cook ,2769,
boot cleaner ,2063,cook ,2809,
boot cleaner ,2490,cook ,2891,
boot cleaner ,2877,cook ,2909,
boot cleaner ,3395,cook ,2911,
boot cleaner ,3481,cook ,3004,
boot cleaner ,3557,cook ,3015,
boot cleaner ,3830,cook ,3024,
boot cleaner ,3850,cook ,3029,
boot maker,1058,cook ,3044,
bootmaker ,102,cook ,3045,
bootmaker ,158,cook ,3127,
bootmaker ,169,cook ,3140,
bootmaker ,174,cook ,3156,
bootmaker ,225,cook ,3198,
bootmaker ,290,cook ,3233,
bootmaker ,861,cook ,3237,
bootmaker ,1023,cook ,3257,
bootmaker ,1059,cook ,3263,
bootmaker ,1093,cook ,3267,
bootmaker ,1276,cook ,3332,
bootmaker ,1607,cook ,3427,
bootmaker ,1610,cook ,3439,
bootmaker ,1672,cook ,3444,
bootmaker ,1684,cook ,3445,
bootmaker ,1710,cook ,3450,
bootmaker ,1920,cook ,3483,
bootmaker ,2037,cook ,3489,
bootmaker ,2149,cook ,3492,
bootmaker ,2259,cook ,3495,
bootmaker ,2293,cook ,3564,
bootmaker ,2388,cook ,3613,
bootmaker ,2655,cook ,3625,
bootmaker ,3009,cook ,3651,
bootmaker ,3273,cook ,3711,
bootmaker ,3320,cook ,3713,
bootmaker ,3341,cook ,3715,
bootmaker ,3609,cook ,3746,
bootmaker ,3681,cook ,3768,
bootmaker ,3877,cook ,3805,
bootmaker ,3882,cook ,3869,
bootmaker ,4095,cook ,3870,
bootmaker ,4174,cook ,3888,
border labor ,4244,cook ,3892,
botanic physician ,2871,cook ,3942,
bottler ,1735,cook ,3948,
box dealer ,1069,cook ,3958,
boxman ,706,cook ,3963,
boxman ,715,cook ,3967,
boxman ,1635,cook and confectioner ,104,
boxman ,1644,cook been home ,3895,
brass founder ,2449,cook house and dance house ,1270,
brick ,3432,cook unemployed ,3415,
brick ,3882,cook when able ,1132,
brick layer ,2168,cook when able ,2472,
brick maker ,1898,cook when able to go ,517,
brick maker ,2528,cooking ,2707,
brick maker ,2611,cooking ,2862,
brick maker ,2615,cooking ,2942,
brick maker ,2621,cooking ,2962,
brick maker ,2627,cooking ,3086,
brick maker ,2672,cooking ,3126,
brick maker ,2677,cooking ,3131,
brick maker ,2707,cooking ,3202,
brick maker ,2750,cooking ,3346,
brick maker ,2757,cooking ,3556,
brick maker ,2777,cooking ,3639,
brick maker ,2778,cooking ,3765,
brick maker ,2797,cooking ,3881,
brick maker ,2817,cooking ,4050,
brick maker ,2838,cooking ,4068,
brick maker ,2841,cooking ,4193,
brick maker ,2846,cooking both at home now ,3540,
brick maker ,2884,cooking etc ,2934,
brick maker ,2949,cooking etc ,3423,
brick maker ,3033,cooking pen ,2802,
brick maker ,3070,cooks ,2926,
brick maker ,3156,cooks ,3007,
brick maker ,3173,cooks ,3969,
brick maker ,3286,cool ,219,
brick maker ,3467,coroners assistant ,3122,
brick maker ,3497,cuts ,3387,
brick maker ,3528,cuts carpet rags ,512,
brick maker ,3546,cuts carpet rags ,522,
brick maker ,3556,cuts carpet rags ,635,
brick maker ,3631,cuts carpet rags ,637,
brick maker ,3664,cuts carpet rags ,661,
brick maker ,3700,cuts carpet rags ,665,
brick maker ,3743,cuts carpet rags ,872,
brick maker ,3918,cuts carpet rags ,1202,
brick maker ,4021,cuts carpet rags ,1297,
brick maker ,4147,cuts carpet rags ,1322,
brick maker in store ,3161,cuts carpet rags ,1325,
brick maker jobbing ,3800,cuts carpet rags ,1327,
brick maker jobbing ,3984,cuts carpet rags ,1472,
brick mason ,2756,cuts carpet rags ,1624,
brick mason ,2767,cuts carpet rags ,1837,
brick mason ,2890,cuts carpet rags ,1841,
brick moulder ,783,cuts carpet rags ,1955,
brick moulder ,949,cuts carpet rags ,2131,
brick moulder ,1104,cuts carpet rags ,2462,
brick moulder ,1804,cuts carpet rags ,3036,
brick moulder ,1974,cuts carpet rags ,3287,
brick moulder ,1998,cuts carpet rags ,3904,
brick moulder ,2280,cuts rags ,2880,
brick moulder ,2352,cuts rags ,2898,
brick moulder ,2395,cuts rags ,2902,
brick moulder ,2396,cuts rags ,2928,
brick moulder ,2494,cuts rags ,2996,
brick moulder ,2758,cuts rags ,3096,
brick yard ,2501,cuts rags ,3147,
brick yard ,2521,cuts rags ,3255,
brick yard ,2593,cuts rags ,3261,
brick yard ,2602,cuts rags ,3275,
brick yard ,2620,cuts rags ,3416,
brick yard ,2726,cuts rags ,3461,
brick yard ,2849,cuts rags ,3553,
brick yard ,2913,cuts rags ,3561,
brick yard ,2940,cuts rags ,3616,
brick yard ,3058,cuts rags ,3630,
brick yard ,4000,cuts rags ,3632,
bricklayer ,993,cuts rags ,3643,
brickmaker ,2676,cuts rags ,3849,
brickmaker ,4092,cuts rags ,3939,
brickmaker ,4275,cuts rags ,3982,
builder ,793,cuts rags ,3999,
cab driver,1328,cuts rags days work ,3206,
cabinet ,1636,cuts rags days work ,3865,
cabinet maker ,759,cuts rags days work ,4004,
cabinet maker ,1638,cuts rags weakly ,2923,
cabinet maker ,1784,day work rag & bone picker,3635,
cabinet maker ,1976,days work,3260,
cabinet maker ,1990,days work,3810,
cabinet maker ,2000,days work ,11,
cabinet maker ,2132,days work ,23,
cabinet maker ,2435,days work ,27,
cabinet maker ,2955,days work ,29,
cabinet maker ,3559,days work ,30,
cabinet maker ,3874,days work ,39,
cabinet maker ,3884,days work ,40,
cabinet maker now porter ,1002,days work ,41,
cabman ,1288,days work ,46,
cake baker ,472,days work ,50,
cake baker ,596,days work ,54,
cake baker ,1040,days work ,60,
cake baker ,1569,days work ,63,
cake peddlers ,678,days work ,72,
cake seller ,68,days work ,75,
cake seller ,1037,days work ,77,
cake seller ,1523,days work ,78,
cake seller ,1599,days work ,79,
cake seller ,1652,days work ,80,
cake seller ,1736,days work ,81,
cake seller ,2053,days work ,88,
cake seller ,2245,days work ,93,
cake seller ,2266,days work ,96,
cake seller ,2320,days work ,97,
cake seller average ,270,days work ,98,
cant tell ,449,days work ,108,
car man ,3943,days work ,112,
carman ,2610,days work ,122,
carman ,2683,days work ,123,
carman ,2941,days work ,124,
carman ,2976,days work ,132,
carman ,3045,days work ,139,
carman ,3221,days work ,140,
carman ,3571,days work ,141,
carman ,3637,days work ,160,
carman ,3748,days work ,162,
carman ,3763,days work ,183,
carpenter ,793,days work ,191,
carpenter ,868,days work ,192,
carpenter ,1094,days work ,203,
carpenter ,1256,days work ,207,
carpenter ,1410,days work ,209,
carpenter ,1642,days work ,212,
carpenter ,1662,days work ,213,
carpenter ,1755,days work ,214,
carpenter ,1878,days work ,223,
carpenter ,2096,days work ,240,
carpenter ,2267,days work ,241,
carpenter ,2357,days work ,242,
carpenter ,2503,days work ,249,
carpenter ,2895,days work ,254,
carpenter ,3259,days work ,255,
carpenter ,3866,days work ,258,
carpenter ,4014,days work ,259,
carpenter ,4098,days work ,261,
carpenter when able ,1381,days work ,268,
carries salt ,4012,days work ,279,
carter ,1958,days work ,281,
carter ,2516,days work ,290,
carter ,2520,days work ,312,
carter ,2523,days work ,321,
carter ,2535,days work ,334,
carter ,2557,days work ,336,
carter ,2568,days work ,344,
carter ,2578,days work ,345,
carter ,2579,days work ,349,
carter ,2599,days work ,350,
carter ,2613,days work ,353,
carter ,2616,days work ,354,
carter ,2691,days work ,357,
carter ,2781,days work ,358,
carter ,2789,days work ,365,
carter ,2793,days work ,370,
carter ,2823,days work ,372,
carter ,2844,days work ,388,
carter ,2854,days work ,391,
carter ,2938,days work ,397,
carter ,3007,days work ,406,
carter ,3032,days work ,416,
carter ,3045,days work ,424,
carter ,3047,days work ,428,
carter ,3050,days work ,433,
carter ,3171,days work ,435,
carter ,3174,days work ,437,
carter ,3180,days work ,456,
carter ,3221,days work ,459,
carter ,3224,days work ,460,
carter ,3295,days work ,461,
carter ,3311,days work ,465,
carter ,3358,days work ,468,
carter ,3363,days work ,475,
carter ,3374,days work ,483,
carter ,3430,days work ,499,
carter ,3496,days work ,502,
carter ,3503,days work ,505,
carter ,3570,days work ,516,
carter ,3637,days work ,519,
carter ,3673,days work ,520,
carter ,3713,days work ,521,
carter ,3759,days work ,526,
carter ,3785,days work ,535,
carter ,3855,days work ,542,
carter ,3929,days work ,546,
carter ,3932,days work ,550,
carter ,3943,days work ,551,
carter ,3990,days work ,563,
carter ,3992,days work ,564,
carter ,3995,days work ,565,
carter ,4026,days work ,566,
carter ,4030,days work ,568,
carter ,4032,days work ,575,
carter ,4057,days work ,578,
carter ,4068,days work ,581,
carter ,4074,days work ,582,
carter ,4091,days work ,610,
carter ,4100,days work ,633,
carter ,4112,days work ,652,
carter ,4117,days work ,656,
carter ,4124,days work ,657,
carter ,4132,days work ,664,
carter ,4134,days work ,686,
carter ,4165,days work ,689,
carter ,4166,days work ,691,
carter ,4182,days work ,693,
carter ,4202,days work ,698,
carter ,4215,days work ,699,
carter ,4227,days work ,702,
carter ,4228,days work ,703,
carter ,4239,days work ,705,
carter his own ,541,days work ,711,
carter his own ,543,days work ,714,
carter his own ,572,days work ,717,
carter his own ,582,days work ,738,
carter his own ,761,days work ,768,
carter his own ,767,days work ,769,
carter his own ,768,days work ,770,
carter his own ,1118,days work ,818,
carter his own ,1182,days work ,821,
carter his own ,1255,days work ,846,
carter his own ,1266,days work ,847,
carter his own ,1459,days work ,853,
carter his own ,1578,days work ,862,
carter his own ,1640,days work ,879,
carter his own ,1823,days work ,883,
carter his own ,1915,days work ,884,
carter his own ,2091,days work ,888,
carter his own ,2261,days work ,889,
carter his own ,3075,days work ,891,
carter in lumber yard ,4259,days work ,898,
carting ,3077,days work ,899,
carting ,3859,days work ,900,
carver ,1681,days work ,905,
chair bottomer ,2261,days work ,906,
chaise driver ,2339,days work ,908,
chandler ,3640,days work ,909,
chimney sweeper ,2556,days work ,911,
china packer ,2128,days work ,913,
china store ,3827,days work ,915,
clergyman ,3177,days work ,917,
clergyman ,3350,days work ,925,
clergyman ,3577,days work ,928,
clergyman ,3823,days work ,929,
clergyman ,3973,days work ,930,
clergyman ,4127,days work ,936,
clergyman itinerent ,3754,days work ,937,
clerk ,2385,days work ,944,
clock printer by trade ,1517,days work ,949,
cloth dealer ,3253,days work ,951,
clothes dealer ,152,days work ,966,
clothes dealer ,175,days work ,967,
clothes dealer ,246,days work ,980,
clothes dealer ,404,days work ,981,
clothes dealer ,411,days work ,988,
clothes dealer ,834,days work ,1002,
clothes dealer ,865,days work ,1005,
clothes dealer ,998,days work ,1012,
clothes dealer ,1025,days work ,1013,
clothes dealer ,1097,days work ,1017,
clothes dealer ,1128,days work ,1019,
clothes dealer ,1521,days work ,1027,
clothes dealer ,1602,days work ,1029,
clothes dealer ,1605,days work ,1033,
clothes dealer ,1717,days work ,1060,
clothes dealer ,1725,days work ,1069,
clothes dealer ,1753,days work ,1076,
clothes dealer ,1988,days work ,1082,
clothes dealer ,1989,days work ,1084,
clothes dealer ,2025,days work ,1108,
clothes dealer ,2064,days work ,1110,
clothes dealer ,2153,days work ,1113,
