ID,JoinOcc,JoinCount
0000,washer . . . . . . . . . .,. . . . . . . .
0001,washer . . . . . . . . . .,. . . . . . . .
0002,washer . . . . . . . . . .,. . . . . . . .
0003,eating house . . . . . . . . .,. . . . . . . .
0004,domestic duties . . . . . . . . .,. . . . . . . .
0005,. . . . . . . . . . .,. . . . . . . .
0006,washer . . . . . . . . . .,. . . . . . . .
0007,. . . . . . . . . . .,. . . . . . . .
0008,service . . . . . . . . . .,. . . . . . . .
0009,. . . . . . . . . . .,. . . . . . . .
0010,domestic duties . . . . . . . . .,. . . . . . . .
0011,days work . . . . . . . . .,. . . . . . . .
0012,washer . . . . . . . . . .,. . . . . . . .
0013,washer . . . . . . . . . .,. . . . . . . .
0014,washer . . . . . . . . . .,. . . . . . . .
0015,washer . . . . . . . . . .,. . . . . . . .
0016,washer . . . . . . . . . .,. . . . . . . .
0017,washer . . . . . . . . . .,. . . . . . . .
0018,domestic duties . . . . . . . . .,. . . . . . . .
0019,washer . . . . . . . . . .,. . . . . . . .
0020,shop keeper . . . . . . . . .,. . . . . . . .
0021,washer . . . . . . . . . .,. . . . . . . .
0022,cook . . . . . . . . . .,. . . . . . . .
0023,days work . . . . . . . . .,. . . . . . . .
0024,. . . . . . . . . . .,. . . . . . . .
0025,washer . . . . . . . . . .,. . . . . . . .
0026,washer . . . . . . . . . .,. . . . . . . .
0027,days work . . . . . . . . .,. . . . . . . .
0028,cook . . . . . . . . . .,. . . . . . . .
0029,days work . . . . . . . . .,. . . . . . . .
0030,days work . . . . . . . . .,. . . . . . . .
0031,sewing rags . . . . . . . . .,. . . . . . . .
0032,washer . . . . . . . . . .,. . . . . . . .
0033,washer . . . . . . . . . .,. . . . . . . .
0034,white washer . . . . . . . . .,. . . . . . . .
0035,. washers about . . . . . . . .,2 . . . . . . .
0036,. washers about . . . . . . . .,2 . . . . . . .
0037,washer . . . . . . . . . .,. . . . . . . .
0038,. . . . . . . . . . .,. . . . . . . .
0039,days work . . . . . . . . .,. . . . . . . .
0040,days work . . . . . . . . .,. . . . . . . .
0041,days work . . . . . . . . .,. . . . . . . .
0042,washer . . . . . . . . . .,. . . . . . . .
0043,washer . . . . . . . . . .,. . . . . . . .
0044,washer . . . . . . . . . .,. . . . . . . .
0045,washer . . . . . . . . . .,. . . . . . . .
0046,days work . . . . . . . . .,. . . . . . . .
0047,. . . . . . . . . . .,. . . . . . . .
0048,washer . . . . . . . . . .,. . . . . . . .
0049,. . . . . . . . . . .,. . . . . . . .
0050,days work . . . . . . . . .,. . . . . . . .
0051,. . . . . . . . . . .,. . . . . . . .
0052,. . . . . . . . . . .,. . . . . . . .
0053,washer . . . . . . . . . .,. . . . . . . .
0054,days work . . . . . . . . .,. . . . . . . .
0055,washer . . . . . . . . . .,. . . . . . . .
0056,. . . . . . . . . . .,. . . . . . . .
0057,. . . . . . . . . . .,. . . . . . . .
0058,. . . . . . . . . . .,. . . . . . . .
0059,domestic duties . . . . . . . . .,. . . . . . . .
0060,days work . . . . . . . . .,. . . . . . . .
0061,cake . piebaker . clear . . . . . .,. . . . . . . .
0062,. washer . dress m . . . . . .,1 . 1 . . . . .
0063,days work . . . . . . . . .,. . . . . . . .
0064,washer . . . . . . . . . .,. . . . . . . .
0065,whitewasher . . . . . . . . . .,. . . . . . . .
0066,. . . . . . . . . . .,. . . . . . . .
0067,washer . . . . . . . . . .,. . . . . . . .
0068,huxter . . . . . . . . . .,. . . . . . . .
0069,eating . c house about . . . . . .,. . . . . . . .
