ID,OCCUPATION,COUNT
0000,washer ,1
0001,washer ,1
0002,washer ,1
0003,eating house ,1
0004,domestic duties ,1
0005,null,null
0006,washer ,1
0007,null,null
0008,service ,1
0009,null,null
0010,domestic duties ,1
0011,days work ,1
0012,washer ,1
0013,washer ,1
0014,washer ,1
0015,washer ,1
0016,washer ,1
0017,washer ,1
0018,domestic duties ,1
0019,washer ,1
0020,shop keeper ,1
0021,washer ,1
0022,cook ,1
0023,days work ,1
0024,null,null
0025,washer ,1
0026,washer ,1
0027,days work ,1
0028,cook ,1
0029,days work ,1
0030,days work ,1
0031,sewing rags ,1
0032,washer ,1
0033,washer ,1
0034,white washer ,1
0035,washers about ,2
0036,washers about ,2
0037,washer ,1
0038,null,null
0039,days work ,1
0040,days work ,1
0041,days work ,1
0042,washer ,1
0043,washer ,1
0044,washer ,1
0045,washer ,1
0046,days work ,1
0047,null,null
0048,washer ,1
0049,null,null
0050,days work ,1
0051,null,null
0052,null,null
0053,washer ,1
0054,days work ,1
0055,washer ,1
0056,null,null
0057,null,null
0058,null,null
0059,domestic duties ,1
0060,days work ,1
0061,cake ,1
0061,piebaker ,1
0061,clear ,1
0062,washer ,1
0062,dress m ,1
0063,days work ,1
0064,washer ,1
0065,whitewasher ,1
0066,null,null
0067,washer ,1
0068,huxter ,1
0069,eating ,1
0069,c house about ,1
0070,null,null
0071,washer ,1
0072,days work ,1
0073,null,null
0074,home duties ,1
0075,days work ,1
0076,at service ,1
0077,days work ,1
0078,days work ,1
0079,days work ,1
0080,days work average ,1
0080,per ,1
0081,days work ,1
0082,wash ,1
0082,dress m ,1
0082,tailoress ,1
0083,washer ,1
0084,domestic duties ,1
0085,washer ,1
0086,washer ,1
0087,washer ,1
0088,days work ,1
0089,domestic duties ,1
0090,at service ,1
0091,washer ,1
0092,w washer ,1
0093,days work ,1
0094,washer ,1
0095,washer ,1
0096,days work ,1
0097,days work ,1
0098,days work ,1
0099,null,null
0100,service ,1
0101,school teacher ,1
0102,dressmakers ,2
0103,domestic duties ,1
0104,cook and confectioner ,1
0104,shirt sur ,1
0104,dressmaker ,1
0105,domestic duties ,1
0106,washrs ,2
0107,shirt maker ,1
0108,days work ,1
0109,null,null
0110,domestic duties ,1
0111,null,null
0112,days work ,1
0113,washer under ,1
0114,w washer ,1
0115,washr ,1
0116,service ,1
0117,sempstress ,1
0118,not able to work ,1
0119,domestic duties ,1
0120,washer ,1
0121,null,null
0122,days work ,1
0123,days work ,1
0124,days work ,1
0125,service ,1
0126,dom duties ,1
0127,shirt m ,1
0127,teacher ,1
0127,palin sewer ,1
0128,domestic duties ,1
0129,domestic duties ,1
0130,domestic duties ,1
0131,washing ,1
0131,sewing ,1
0132,days work ,1
0133,dom duties ,1
0134,washer ,1
0135,dom duties ,1
0136,dom duties ,1
0137,washer ,1
0138,white washer ,1
0138,servicd about ,1
0139,days work ,1
0140,days work ,1
0141,days work ,1
0142,washer ,1
0143,huster ,1
0144,huxter ,1
0145,dress maker ,1
0146,washer ,1
0146,dressma ,1
0147,sempstress ,1
0148,washer ,1
0149,washer ,1
0150,washer ,1
0151,washer ,1
0152,washer ,1
0153,null,null
0154,null,null
0155,dress maker ,2
0156,domestic duties ,1
0157,washer ,1
0158,boot fitter ,1
0159,washer ,1
0160,days work ,1
0161,rag gatherer ,1
0162,days work ,1
0163,domestic duties ,1
0164,null,null
0165,washer ,1
0165,dress maker ,1
0166,washer ,1
0166,dressm ,1
0166,milliner ,1
0167,washer ,1
0168,domestic duties ,1
0169,dom duties ,1
0169,dress maker ,1
0169,sempstress ,1
0170,sempstress ,1
0171,sempstress ,1
0172,domestic duties ,1
0173,dress maker ,5
0174,domestic duties ,1
0175,washer ,1
0175,dress maker ,1
0176,null,null
0177,domestic duties ,1
0178,washer ,1
0179,domestic duties ,1
0180,washer ,1
0181,washer ,1
0182,washer ,1
0183,days work ,1
0184,null,null
0185,various ,1
0186,dom duties ,1
0186,in rag store ,1
0187,washer ,1
0188,washer ,1
0189,washer ,1
0190,washer ,1
0191,days work ,1
0192,days work ,1
0193,dom duties ,1
0193,washer ,1
0194,washer ,1
0195,dress maker ,1
0196,white washer ,1
0197,service ,1
0198,washer ,1
0199,washer ,1
0200,domestic duties ,1
0201,dress maker ,1
0202,service ,1
0203,days work ,1
0204,dress maker ,1
0205,washer ,1
