ID,OCCUPATION,COUNT
0,watchman ,1
1,lab ,1
1,waterman ,1
2,null,null
3,drives dray ,1
4,barber ,1
5,barber ,1
6,various kinds ,1
7,laborer ,1
8,seaman ,1
9,laborer ,1
10,null,null
11,null,null
12,null,null
13,null,null
14,stevedore ,1
15,waiter ,1
15,seaman ,1
16,laborer ,1
17,null,null
18,temp sailor c h ,1
19,stevedore ,1
20,null,null
21,null,null
22,waiter ,1
23,null,null
24,laborer ,1
25,various ,1
26,seaman ,1
27,null,null
28,seaman ,1
29,laborer ,1
30,porter ,1
31,null,null
32,white washer ,1
33,stevedore ,1
34,stevedore ,1
35,null,null
36,laborer ,1
37,null,null
38,washer ,1
39,null,null
40,null,null
41,null,null
42,null,null
43,porter ,1
44,null,null
45,null,null
46,porter ,1
47,null,null
48,laborer ,1
49,null,null
50,null,null
51,null,null
52,null,null
53,laborer ,1
54,null,null
55,porter ,1
56,null,null
57,laborer ,1
58,laborer ,1
59,null,null
60,laborer ,1
61,null,null
62,null,null
63,porter ,1
64,laborer ,1
65,laborer ,1
66,drives furniture car ,1
67,waiter ,1
67,per ,1
68,cake seller ,1
69,lab ,1
69,seaman ,1
70,null,null
71,waiter ,1
72,null,null
73,porter ,1
74,lab ,1
75,null,null
76,null,null
77,w washer ,1
78,null,null
79,lab ,3
80,lab ,1
81,lab ,1
82,lab ,1
83,laborer ,1
84,laborer ,1
85,porter ,1
86,whitewasher ,1
87,lab ,1
88,stevedore ,1
89,porter ,1
90,null,null
91,null,null
92,null,null
93,null,null
94,laborer ,1
95,null,null
96,porter ab ,1
97,laborer ,1
98,lab ,1
98,boot black ,1
99,boot black ,1
100,service ,1
101,barber ,2
101,port ,1
101,sign painter ,1
101,photographist ,1
102,boot maker ,1
103,barber ,1
103,clear ,1
104,null,null
105,barber about ,1
105,clear ,1
106,barber ,1
107,waiter ,1
108,laborer ,1
109,drives dray ,1
110,stevedore ,1
111,null,null
112,null,null
113,wire worker ab ,1
114,null,null
115,seaman ,1
116,porter ,1
117,seaman ,1
118,null,null
119,musician ,1
119,boot mr ,1
120,drives fur car ,1
121,drives fur car ,1
122,null,null
123,null,null
124,null,null
125,null,null
126,barber ,1
127,ladies shoemaker ,1
