Trade & Transportation,MALE
porter,374
seaman,189
carter,143
coachman,104
stevedore,58
porter in store,45
clothes dealer,44
rag & bone,40
waterman,32
working on wharf,26
dealer,17
cake seller,14
sailor,14
oyster peddler,13
oyster house,12
carman,11
hominy dealer,11
works in market,11
huckster,10
plasterer,10
stove dealer,10
grain carrier,7
rag picker,7
drives furniture car,6
coal carrier,5
rag dealer,5
salt carrier,5
boatman,4
boxman,4
currier,4
hostler,4
ship carpenter,4
dealer in second hand cloths,3
hack driver,3
shop keeper,3
cab driver,2
coal yard,2
furniture dealer,2
grocer,2
hod carrier,2
in store,2
packer,2
peddler,2
teamster,2
box dealer,1
chaise driver,1
china packer,1
china store,1
collecter,1
commission merchant,1
confectionary,1
drives fur car,1
drives horse,1
fireman steamboat,1
groom,1
hat store,1
healthcare,1
in chair store,1
in jewelry store,1
in oil store,1
iron store,1
lab in boat yard,1
lab in stove store,1
lab in stove store part of the time,1
laborer on steamboat,1
lamp dealer,1
lumber merchant,1
muffin dealer,1
picks coal,1
poter,1
rases flags,1
sea captain,1
sells door mats,1
sells pepper pot,1
shipping master,1
tailor,1
traveler,1
when canal is open,1
wood piler,1
